update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what
1152688260,normal,1171645984,critical,150379,1171647781,normal,,,,
1171879891,blocker,1171952121,critical,174642,,,,,,
1171953231,normal,1171953398,major,174759,,,,,,
1170247115,normal,1172001187,major,172352,,,,,,
1171968042,major,1172025814,normal,174803,,,,,,
1171960837,normal,1172029518,trivial,174777,,,,,,
1172072251,normal,1172072287,critical,175044,,,,,,
1172072468,normal,1172072536,critical,175046,,,,,,
1172190063,normal,1172190198,major,175224,,,,,,
1171968240,major,1172217745,critical,174804,1172218848,major,,,,
1172055642,enhancement,1172220799,normal,174991,,,,,,
1170459127,normal,1172306646,major,172749,1172369102,normal,,,,
1172227004,normal,1172473313,critical,175304,,,,,,
1172506090,normal,1172506454,major,175606,,,,,,
1172660077,blocker,1172660259,critical,175862,1172660377,blocker,1172660397,critical,,
1173174666,normal,1173345347,major,176501,,,,,,
1152174796,normal,1173418250,minor,149830,,,,,,
1173331826,normal,1173677743,minor,176698,,,,,,
1170687158,normal,1173708145,major,172915,,,,,,
1173139400,normal,1173789322,major,176453,,,,,,
1173847513,normal,1173847778,major,177288,,,,,,
1173849018,normal,1173865295,minor,177292,,,,,,
1169615563,normal,1173871607,critical,171522,,,,,,
1151902836,enhancement,1173933870,normal,149444,,,,,,
1173852600,normal,1173956745,major,177303,1173957183,critical,,,,
1173951306,blocker,1173958693,normal,177559,1173961116,blocker,1173965283,normal,,
1174299327,normal,1174304421,major,178074,,,,,,
1174305787,normal,1174319073,major,178097,,,,,,
1174347496,normal,1174347519,critical,178173,,,,,,
1174364676,critical,1174365298,major,178205,,,,,,
1174374648,normal,1174375098,major,178240,,,,,,
1173938611,normal,1174380549,major,177529,,,,,,
1174385792,normal,1174386670,major,178300,,,,,,
1174372580,normal,1174388195,enhancement,178233,1174640435,trivial,,,,
1174373869,normal,1174388213,enhancement,178236,1174640452,normal,,,,
1174386164,normal,1174389248,major,178304,,,,,,
1174384689,normal,1174396343,major,178287,,,,,,
1174389617,normal,1174404918,major,178328,1174405002,critical,,,,
1164043986,normal,1174412851,major,165253,,,,,,
1162579172,major,1174461970,blocker,163421,,,,,,
1174478171,major,1174478619,critical,178600,,,,,,
1174517714,normal,1174520255,major,178719,,,,,,
1173714079,normal,1174570029,major,177059,,,,,,
1174570199,normal,1174570764,major,178858,,,,,,
1173089141,normal,1174571220,major,176381,,,,,,
1174575558,normal,1174575692,major,178881,,,,,,
1174577037,normal,1174577352,trivial,178888,,,,,,
1145534122,major,1174578788,normal,137800,,,,,,
1174582029,normal,1174593804,major,178906,,,,,,
1174643787,normal,1174660958,critical,179036,,,,,,
1158221226,normal,1174891441,critical,157314,,,,,,
1174638222,normal,1174891639,major,178999,,,,,,
1158591149,normal,1174891900,major,157698,,,,,,
1174636533,normal,1174892212,major,178994,,,,,,
1163145611,normal,1174897512,major,164111,,,,,,
1155042270,normal,1174897576,major,153156,,,,,,
1159295044,normal,1174897632,major,158896,,,,,,
1172665559,normal,1174897876,major,175878,,,,,,
1174915050,normal,1174915090,major,179369,,,,,,
1174567216,normal,1174915423,major,178846,,,,,,
1175087768,major,1175088264,minor,179823,,,,,,
1175137679,normal,1175138255,minor,179946,,,,,,
1166221409,normal,1175148070,major,168301,,,,,,
1175152490,major,1175153303,normal,179980,,,,,,
1174039085,major,1175170483,critical,177765,,,,,,
1175414874,blocker,1175415679,normal,180376,,,,,,
1175066800,normal,1175456160,major,179719,,,,,,
1157703217,normal,1175516366,critical,156703,,,,,,
1167518402,minor,1175549146,normal,169290,,,,,,
1138994487,normal,1175570686,major,126442,,,,,,
1175590546,normal,1175597063,enhancement,180731,1181875692,normal,,,,
1174480463,normal,1175604499,major,178610,,,,,,
1174837350,normal,1175618932,critical,179208,1175618975,major,,,,
1175618103,blocker,1175682825,critical,180821,,,,,,
1173695100,normal,1175694700,major,177000,,,,,,
1175698010,normal,1175698392,major,181061,,,,,,
1175740414,critical,1175758622,major,181150,,,,,,
1173880546,normal,1176030742,major,177400,,,,,,
1175509412,normal,1176178524,major,180511,1176179254,normal,,,,
1175783191,normal,1176182867,critical,181309,1176209912,normal,,,,
