update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what,update/5/when,update/5/what
1222439551,unreachable code in org.eclipse.jdt.internal.compiler.impl.CompilerOptions.optionKeyFromIrritant(long),1222656547,[compiler] unreachable code in org.eclipse.jdt.internal.compiler.impl.CompilerOptions.optionKeyFromIrritant(long),248781,,,,,,,,
1222653433,Jar export doesn't include files under META-INF,1222664382,[jar exporter] Jar export doesn't include files under META-INF,248899,,,,,,,,
1222661533,Potential null pointer access on second block of code,1222741267,[compiler][null] Potential null pointer access on second block of code,248916,,,,,,,,
1222775726,Potential StackOverflow in JavaNavigatorContentProvider,1222826606,[common navigator] Potential StackOverflow in JavaNavigatorContentProvider,249155,,,,,,,,
1222855063,"IndexOutOfBoundsException attempting to remove "".."" library from build path",1222857684,[build path] IndexOutOfBoundsException attempting to remove last build path entry,249342,,,,,,,,
1222893337,"Quick fix ""Surround with try/catch"" results in uninitialized local variable",1222912505,"[quick fix] ""Surround with try/catch"" results in uninitialized local variable",249425,,,,,,,,
1222768209,asymmetric errors with covariant inherited methods,1222914997,[compiler] asymmetric errors with covariant inherited methods,249140,1222918219,[1.5][compiler] asymmetric errors with covariant inherited methods,,,,,,
1222927944,Inline Method with varargs creates unneeded local array,1222930514,[inline] Inline Method with varargs creates unneeded local array,249471,,,,,,,,
1222920495,Line with class definition disapears on save if format on save is enabled,1222940481,[projection] Line with class definition disappears on save if format on save is enabled,249456,,,,,,,,
1222341385,Java Build Path/Libraries/Add JARs does not exclude from view existing jars,1222995112,[build path] Java Build Path/Libraries/Add JARs does not exclude from view existing jars,248628,,,,,,,,
1222961646,[quick fix]bad proposal for abstract modifier before constructors in abstract classes,1222998690,[quick fix] bad proposal for abstract modifier before constructors in abstract classes,249549,,,,,,,,
1222953501,Consider disabling the syncOverride warning/error by default,1222998743,[compiler] Consider disabling the syncOverride warning/error by default,249535,,,,,,,,
1222996948,[junit] Red stop button takes a long time to become enabled,1223000655,[JUnit] Red stop button takes a long time to become enabled,249570,,,,,,,,
1223197843,autocomplete with anonymous classes does stop working,1223223753,[code assist] autocomplete with anonymous classes does stop working,249704,,,,,,,,
1223263503,[1.5][assist] Content assist on generic class should not expand type arguments,1223267146,[1.5][content assist] Content assist on generic class should sometimes not expand type arguments,249732,1265369504,[content assist][5.0] Content assist on generic class should sometimes not expand type arguments,,,,,,
1223028031,Provide UI for 'no strictly compatible JRE available' problem severity,1223286512,[preferences] Provide UI for 'no strictly compatible JRE available' problem severity,249620,,,,,,,,
1223281089,"Javadoc content assist after ""@see #"" does not work with deprecated member before",1223288456,"[javadoc][assist] Javadoc content assist after ""@see #"" does not work with deprecated member before",249785,,,,,,,,
1215331633,No property testser for TestCaseElement,1223368704,"No property tester for TestCaseElement for property ""projectNature""",239715,,,,,,,,
1223141109,Source CleanUp Module,1223449897,The ImportRewriteAnalyzer does not honor a formatter setting,249692,,,,,,,,
1223449262,Search indexes are not correctly updated,1223454990,[model] Search indexes are not correctly updated,250083,,,,,,,,
1223433493,"Another assert and ""Redundant null check""",1223455152,"[compiler][null] Another assert and ""Redundant null check""",250056,,,,,,,,
1223465329,"""Correct indentation"" save action conflict with java formatter",1223518628,[typing] 'Correct indentation' wrong if wrapped after 'implements',250134,,,,,,,,
1223496823,Organize Imports Hangs,1223606745,[search] Organize Imports Hangs,250211,,,,,,,,
1223618675,Interface extraction terminates with an Internal Error,1223628092,[extract interface] Interface extraction terminates with an Internal Error,250425,,,,,,,,
1223682853,PackageExplorerPart.isActivePart() does not check active workbench window,1223688621,[package explorer] PackageExplorerPart.isActivePart() does not check active workbench window,250511,,,,,,,,
1223542565,NPE in org.eclipse.jdt.internal.compiler.problem.ProblemReporter.missingTypeInMethod(ProblemReporter.java:4925),1223887203,[compiler] NPE in org.eclipse.jdt.internal.compiler.problem.ProblemReporter.missingTypeInMethod(ProblemReporter.java:4925),250297,,,,,,,,
1223902937,Eclipse compiler fail to propagate inherited nested class when using generics,1223951611,[1.5][compiler] Eclipse compiler fail to propagate inherited nested class when using generics,250681,,,,,,,,
1223631307,Cannot find method references between projects,1223952385,[search] Cannot find method references between projects,250454,,,,,,,,
1223848579,Smart Insert Mode always on by default,1223966732,[misc] Smart Insert Mode always on by default,250594,,,,,,,,
1223294604,IBinding#getJavaElement() always returns null for IAnnotationBindings,1224076137,IBinding#getJavaElement() always returns null for IAnnotationBindings declared in annotation types,249844,1224076605,IBinding#getJavaElement() always returns null for IAnnotationBindings declared in annotation or enum types,,,,,,
1224044699,[refactor] ClassCastException when performing a Pull-Up,1224119697,[pull up] ClassCastException when performing a Pull-Up,250914,,,,,,,,
1224061679,NPE attaching source JAR,1224120728,[build path] NPE attaching source JAR,250961,,,,,,,,
1224100201,Code Selection,1224121369,[typing] Code Selection,251032,,,,,,,,
1224061105,Status line does not show problem message any more,1224122922,[misc] Status line does not show problem message any more,250960,,,,,,,,
1222767200,error message (implement abstract method) not as intended,1224125323,[compiler] error message (implement abstract method) not as intended,249134,,,,,,,,
1224176980,Javadoc Formating and Warings,1224208073,|formatter] Javadoc Formating and Warings,251160,,,,,,,,
1224164904,Automatic formatting single line comments is incoherent among tools,1224223007,[formatter] Automatic formatting single line comments is incoherent among tools,251133,,,,,,,,
1224229607,"Fup of bug 115814, comparing doubles should not be flagged",1224229623,"[compiler] Fup of bug 115814, comparing doubles should not be flagged",251227,,,,,,,,
